::SOS PWR RTG
--SOSP_Rank	*Team	Region	Seed	SOSP_Rating	SOSP_Record
12	South	Akron	MAC	26–6	Automatic	51	41.075235°N 81.511538°W
13	South	S Dakota St	Summit	25–9	Automatic	53	44°18′23″N 96°47′17″W
14	South	NW State	Southland	23–8	Automatic	57	31°44′35″N 93°05′42″W
15	South	Fla Gulf Cst	Atlantic Sun	24–10	Automatic	59	26°37′N 81°50′W
16	South	W Kentucky	Sun Belt	20–15	Automatic	63	36°58′54″N 86°26′40″W

::Games
--*Game	Round	City	Location
West Regional Quarterfinals	4	Los Angeles	34°03′N 118°15′W
West Regional 1	3	Los Angeles	34°03′N 118°15′W
West Regional 2	3	Los Angeles	34°03′N 118°15′W
West 1-16	1	Salt Lake City, Utah	40°45′0″N 111°53′0″W
West 8-9	1	Salt Lake City, Utah	40°45′0″N 111°53′0″W
West 1-16-8-9	2	Salt Lake City, Utah	40°45′0″N 111°53′0″W
West 6-11	1	Salt Lake City, Utah	40°45′0″N 111°53′0″W
West 3-14	1	Salt Lake City, Utah	40°45′0″N 111°53′0″W
West 6-11-3-14	2	Salt Lake City, Utah	40°45′0″N 111°53′0″W
